Type,Name,Wikidata ID,Description,Image,Reference,Government Position,Private Sector Position,State
Person,Justin Amash,Q1714165,,,,Representative,,MI
Person,Tammy Baldwin,Q40628,,,,Senator,,WI
Person,Lou Barletta,Q25568,,,,Representative,,PA
Person,Joe Barton,Q966261,,,,Representative,,TX
Person,Karen Bass,Q461739,,,,Representative,,CA
Person,Xavier Becerra,Q1855840,,,,Representative,,CA
Person,Michael F. Bennet,Q554792,,,,Senator,,CO
Person,Gus M. Bilirakis,Q1555314,,,,Representative,,FL
Person,Rob Bishop,Q433857,,,,Representative,,UT
Person,"Sanford D. Bishop, Jr.",Q983428,,,,Representative,,GA
Person,Diane Black,Q515935,,,,Representative,,TN
Person,Marsha Blackburn,Q458971,,,,Representative,,TN
Person,Earl Blumenauer,Q748066,,,,Representative,,OR
Person,Richard Blumenthal,Q2023708,,,,Senator,,CT
Person,Roy Blunt,Q1525924,,,,Senator,,MO
Person,John Boozman,Q1344707,,,,Senator,,AR
Person,Madeleine Z. Bordallo,Q292988,,,,Representative,,GU
Person,Kevin Brady,Q472241,,,,Representative,,TX
Person,Robert A. Brady,Q434522,,,,Representative,,PA
Person,Mo Brooks,Q1941306,,,,Representative,,AL
Person,Vern Buchanan,Q2517229,,,,Representative,,FL
Person,Larry Bucshon,Q944286,,,,Representative,,IN
Person,Michael C. Burgess,Q539521,,,,Representative,,TX
Person,Richard Burr,Q331278,,,,Senator,,NC
Person,G. K. Butterfield,Q983532,,,,Representative,,NC
Person,Ken Calvert,Q538978,,,,Representative,,CA
Person,Shelley Moore Capito,Q459618,,,,Senator,,WV
Person,Michael E. Capuano,Q551578,,,,Representative,,MA
Person,André Carson,Q517649,,,,Representative,,IN
Person,John R. Carter,Q369814,,,,Representative,,TX
Person,Bill Cassidy,Q861999,,,,Senator,,LA
Person,Kathy Castor,Q458492,,,,Representative,,FL
Person,Steve Chabot,Q506694,,,,Representative,,OH
Person,Jason Chaffetz,Q1683881,,,,Representative,,UT
Person,Judy Chu,Q460035,,,,Representative,,CA
Person,David N. Cicilline,Q506694,,,,Representative,,RI
Person,Yvette D. Clarke,Q461679,,,,Representative,,NY
Person,Wm. Lacy Clay,Q959455,,,,Representative,,MO
Person,Emanuel Cleaver,Q1334654,,,,Representative,,MO
Person,James E. Clyburn,Q1289889,,,,Representative,,SC
Person,Mike Coffman,Q547218,,,,Representative,,CO
Person,Steve Cohen,Q512330,,,,Representative,,TN
Person,Tom Cole,Q173839,,,,Representative,,OK
Person,K. Michael Conaway,Q538944,,,,Representative,,TX
Person,Gerald E. Connolly,Q1514859,,,,Representative,,VA
Person,"John Conyers, Jr.",Q1370968,,,,Representative,,MI
Person,Jim Cooper,Q973737,,,,Representative,,TN
Person,Jim Costa,Q675869,,,,Representative,,CA
Person,Joe Courtney,Q5250917,,,,Representative,,CT
Person,Mike Crapo,Q734319,,,,Senator,,ID
Person,"Eric A. ""Rick"" Crawford",Q7331312,,,,Representative,,AR
Person,Joseph Crowley,Q971318,,,,Representative,,NY
Person,Henry Cuellar,Q539562,,,,Representative,,TX
Person,John Abney Culberson,Q671976,,,,Representative,,TX
Person,Elijah E. Cummings,Q934898,,,,Representative,,MD
Person,Danny K. Davis,Q1164657,,,,Representative,,IL
Person,Susan A. Davis,Q460675,,,,Representative,,CA
Person,Peter A. DeFazio,Q1758507,,,,Representative,,OR
Person,Diana DeGette,Q437159,,,,Representative,,CO
Person,Rosa L. DeLauro,Q434952,,,,Representative,,CT
Person,Jeff Denham,Q1686295,,,,Representative,,CA
Person,Charles W. Dent,Q556034,,,,Representative,,PA
Person,Scott DesJarlais,Q2260839,,,,Representative,,TN
Person,Theodore E. Deutch,Q245724,,,,Representative,,FL
Person,Mario Diaz-Balart,Q767270,,,,Representative,,FL
Person,Lloyd Doggett,Q363817,,,,Representative,,TX
Person,Joe Donnelly,Q1691395,,,,Senator,,IN
Person,Michael F. Doyle,Q1344200,,,,Representative,,PA
Person,Sean P. Duffy,Q1729888,,,,Representative,,WI
Person,Jeff Duncan,Q11756263,,,,Representative,,SC
Person,"John J. Duncan, Jr.",Q653994,,,,Representative,,TN
Person,Keith Ellison,Q40589,,,,Representative,,MN
Person,Eliot L. Engel,Q1329618,,,,Representative,,NY
Person,Anna G. Eshoo,Q291193,,,,Representative,,CA
Person,Blake Farenthold,Q881255,,,,Representative,,TX
Person,Jeff Flake,Q929581,,,,Senator,,AZ
Person,"Charles J. ""Chuck"" Fleischmann",Q521959,,,,Representative,,TN
Person,Bill Flores,Q862103,,,,Representative,,TX
Person,Jeff Fortenberry,Q1397331,,,,Representative,,NE
Person,Virginia Foxx,Q458453,,,,Representative,,NC
Person,Trent Franks,Q1397303,,,,Representative,,AZ
Person,Rodney P. Frelinghuysen,Q338190,,,,Representative,,NJ
Person,Marcia L. Fudge,Q461746,,,,Representative,,OH
Person,John Garamendi,Q1340268,,,,Representative,,CA
Person,Cory Gardner,Q1135774,,,,Senator,,CO
Person,Bob Gibbs,Q887945,,,,Representative,,OH
Person,Louie Gohmert,Q532647,,,,Representative,,TX
Person,Bob Goodlatte,Q887952,,,,Representative,,VA
Person,Paul A. Gosar,Q2059832,,,,Representative,,AZ
Person,Trey Gowdy,Q1822266,,,,Representative,,SC
Person,Kay Granger,Q468807,,,,Representative,,TX
Person,Chuck Grassley,Q529294,,,,Senator,,IA
Person,Sam Graves,Q465638,,,,Representative,,MO
Person,Tom Graves,Q1647301,,,,Representative,,GA
Person,Al Green,Q313260,,,,Representative,,TX
Person,Gene Green,Q539587,,,,Representative,,TX
Person,H. Morgan Griffith,Q1684857,,,,Representative,,VA
Person,Raúl M. Grijalva,Q946606,,,,Representative,,AZ
Person,Brett Guthrie,Q910794,,,,Representative,,KY
Person,Luis V. Gutiérrez,Q718127,,,,Representative,,IL
Person,Gregg Harper,Q1545023,,,,Representative,,MS
Person,Andy Harris,Q506639,,,,Representative,,MD
Person,Vicky Hartzler,Q375389,,,,Representative,,MO
Person,Alcee L. Hastings,Q1758631,,,,Representative,,FL
Person,Martin Heinrich,Q565374,,,,Senator,,NM
Person,Jeb Hensarling,Q538785,,,,Representative,,TX
Person,Jaime Herrera Beutler,Q168592,,,,Representative,,WA
Person,Brian Higgins,Q505581,,,,Representative,,NY
Person,James A. Himes,Q1689111,,,,Representative,,CT
Person,Mazie K. Hirono,Q16476,,,,Senator,,HI
Person,John Hoeven,Q374762,,,,Senator,,ND
Person,Steny H. Hoyer,Q516515,,,,Representative,,MD
Person,Bill Huizenga,Q862199,,,,Representative,,MI
Person,Randy Hultgren,Q556404,,,,Representative,,IL
Person,Duncan Hunter,Q527493,,,,Representative,,CA
Person,Johnny Isakson,Q130024,,,,Senator,,GA
Person,Darrell E. Issa,Q1166592,,,,Representative,,CA
Person,Sheila Jackson Lee,Q461734,,,,Representative,,TX
Person,Lynn Jenkins,Q456217,,,,Representative,,KS
Person,Bill Johnson,Q353914,,,,Representative,,OH
Person,Eddie Bernice Johnson,Q461526,,,,Representative,,TX
Person,"Henry C. ""Hank"" Johnson, Jr.",Q983537,,,,Representative,,GA
Person,Ron Johnson,Q611060,,,,Senator,,WI
Person,Sam Johnson,Q539470,,,,Representative,,TX
Person,Walter B. Jones,Q1126528,,,,Representative,,NC
Person,Jim Jordan,Q186215,,,,Representative,,OH
Person,Marcy Kaptur,Q436537,,,,Representative,,OH
Person,William R. Keating,Q2579570,,,,Representative,,MA
Person,Mike Kelly,Q1431761,,,,Representative,,PA
Person,Ron Kind,Q505222,,,,Representative,,WI
Person,Peter T. King,Q953554,,,,Representative,,NY
Person,Steve King,Q749710,,,,Representative,,IA
Person,Adam Kinzinger,Q349955,,,,Representative,,IL
Person,Raúl R. Labrador,Q555393,,,,Representative,,ID
Person,Doug Lamborn,Q371106,,,,Representative,,CO
Person,Leonard Lance,Q1819021,,,,Representative,,NJ
Person,James R. Langevin,Q1397290,,,,Representative,,RI
Person,James Lankford,Q45940,,,,Senator,,OK
Person,Rick Larsen,Q503529,,,,Representative,,WA
Person,John B. Larson,Q357832,,,,Representative,,CT
Person,Robert E. Latta,Q888061,,,,Representative,,OH
Person,Patrick J. Leahy,Q59315,,,,Senator,,VT
Person,Barbara Lee,Q289317,,,,Representative,,CA
Person,Mike Lee,Q627098,,,,Senator,,UT
Person,Sander M. Levin,Q971943,,,,Representative,,MI
Person,John Lewis,Q359218,,,,Representative,,GA
Person,Daniel Lipinski,Q518424,,,,Representative,,IL
Person,Frank A. LoBiondo,Q616850,,,,Representative,,NJ
Person,David Loebsack,Q771586,,,,Representative,,IA
Person,Zoe Lofgren,Q218217,,,,Representative,,CA
Person,Billy Long,Q863171,,,,Representative,,MO
Person,Nita M. Lowey,Q460652,,,,Representative,,NY
Person,Frank D. Lucas,Q430556,,,,Representative,,OK
Person,Blaine Luetkemeyer,Q522181,,,,Representative,,MO
Person,Ben Ray Luján,Q324256,,,,Representative,,NM
Person,Stephen F. Lynch,Q2344921,,,,Representative,,MA
Person,Carolyn B. Maloney,Q455833,,,,Representative,,NY
Person,Kenny Marchant,Q368184,,,,Representative,,TX
Person,Tom Marino,Q2439864,,,,Representative,,PA
Person,Edward J. Markey,Q1282411,,,,Senator,,MA
Person,Doris O. Matsui,Q399561,,,,Representative,,CA
Person,John McCain,Q10390,,,,Senator,,AZ
Person,Kevin McCarthy,Q416145,,,,Representative,,CA
Person,Michael T. McCaul,Q539509,,,,Representative,,TX
Person,Tom McClintock,Q535887,,,,Representative,,CA
Person,Betty McCollum,Q434893,,,,Representative,,MN
Person,James P. McGovern,Q1337459,,,,Representative,,MA
Person,Patrick T. McHenry,Q2057809,,,,Representative,,NC
Person,David B. McKinley,Q1175610,,,,Representative,,WV
Person,Cathy McMorris Rodgers,Q293343,,,,Representative,,WA
Person,Jerry McNerney,Q1344743,,,,Representative,,CA
Person,Patrick Meehan,Q7147197,,,,Representative,,PA
Person,Gregory W. Meeks,Q1545391,,,,Representative,,NY
Person,Gwen Moore,Q461698,,,,Representative,,WI
Person,Jerry Moran,Q1365787,,,,Senator,,KS
Person,Mick Mulvaney,Q1235731,,,,Representative,,SC
Person,Lisa Murkowski,Q22360,,,,Senator,,AK
Person,Christopher Murphy,Q1077594,,,,Senator,,CT
Person,Tim Murphy,Q2434181,,,,Representative,,PA
Person,Patty Murray,Q258825,,,,Senator,,WA
Person,Jerrold Nadler,Q505598,,,,Representative,,NY
Person,Grace F. Napolitano,Q469139,,,,Representative,,CA
Person,Richard E. Neal,Q1464697,,,,Representative,,MA
Person,Kristi L. Noem,Q465749,,,,Representative,,SD
Person,Eleanor Holmes Norton,Q461649,,,,Representative,,DC
Person,Devin Nunes,Q539493,,,,Representative,,CA
